u,v,key,birds,birds_per_m
118725,298795432,0,8.0,0.070876745339854
118725,6357644306,0,3.0,0.07407956144899622
298795432,298795496,0,7.0,0.07795013418558813
6357644306,2378383724,0,2.0,0.09119927040583675
6357644306,6357644350,0,1.0,0.043372657876474666
118732,6534097568,0,0.0,0.0
118732,283603631,0,0.0,0.0
6534097568,6534097569,0,0.0,0.0
6534097568,588481087,0,0.0,0.0
283603631,697540,0,0.0,0.0
283603631,6923443835,0,0.0,0.0
118735,8977396171,0,1.0,0.10641694157709908
118735,6511276293,0,1.0,0.012125915506620752
8977396171,92994313,0,1.0,0.11960291831120679
8977396171,884220702,0,1.0,0.054288816503800214
6511276293,8977396182,0,0.0,0.0
6511276293,750556544,0,5.0,0.012229543642349442
118738,588481119,0,0.0,0.0
588481119,6534097569,0,0.0,0.0
588481119,6534097567,0,0.0,0.0
118744,1277939659,0,0.0,0.0
118744,1277939659,1,0.0,0.0
118744,1277939654,0,0.0,0.0
1277939659,6167979440,0,0.0,0.0
1277939659,118744,0,0.0,0.0
1277939659,6167979447,0,0.0,0.0
1277939654,6167979447,0,0.0,0.0
1277939654,1277939656,0,0.0,0.0
1277939654,1294343345,0,0.0,0.0
1277939654,118744,0,0.0,0.0
118747,6651812229,0,0.0,0.0
118747,1052455426,0,0.0,0.0
6651812229,6651812230,0,0.0,0.0
6651812229,1052455226,0,0.0,0.0
1052455426,92994311,0,0.0,0.0
1052455426,118751,0,0.0,0.0
118751,3574460115,0,1.0,0.08098477486232587
118751,6651812218,0,1.0,0.11944577161968467
118751,118747,0,0.0,0.0
3574460115,3574460114,0,1.0,0.06994963626189143
3574460115,6651812354,0,1.0,0.11846937566639022
3574460115,3054294182,0,1.0,0.027976723366159355
6651812218,118751,0,1.0,0.11944577161968467
6651812218,3626959237,0,2.0,0.042552286121571886
6651812218,6651812354,0,1.0,0.08401949252226516
118759,6651812222,0,0.0,0.0
118759,1052455428,0,0.0,0.0
6651812222,118759,0,0.0,0.0
6651812222,4815487352,0,0.0,0.0
6651812222,6651812224,0,0.0,0.0
1052455428,118773,0,0.0,0.0
1052455428,6651812224,0,0.0,0.0
1052455428,3822957349,0,0.0,0.0
118763,118764,0,0.0,0.0
118763,5887571943,0,0.0,0.0
118764,1064956102,0,0.0,0.0
118764,6651812324,0,0.0,0.0
118764,6651812324,1,0.0,0.0
5887571943,5887571944,0,0.0,0.0
5887571943,5221431936,0,0.0,0.0
1064956102,5887571908,0,0.0,0.0
6651812324,1064956102,0,0.0,0.0
6651812324,6651812325,0,0.0,0.0
118768,5887571966,0,0.0,0.0
118768,5221431951,0,0.0,0.0
118768,5887571930,0,0.0,0.0
5887571966,118768,0,0.0,0.0
5887571966,4726329539,0,0.0,0.0
5887571966,5887571967,0,0.0,0.0
5221431951,4726329537,0,0.0,0.0
5221431951,9747460741,0,0.0,0.0
5221431951,118768,0,0.0,0.0
5887571930,5887604984,0,0.0,0.0
5887571930,118768,0,0.0,0.0
5887571930,11804527559,0,0.0,0.0
118769,18222738,0,0.0,0.0
