u,v,key,weighted_noise,predicted_noise,combined_noise
118725,298795432,0,64.38575256380291,,64.38575256380291
118725,6357644306,0,68.66136868341307,,68.66136868341307
298795432,298795496,0,62.504355357816124,,62.504355357816124
6357644306,2378383724,0,68.32280842053724,,68.32280842053724
6357644306,6357644350,0,68.26992732994921,,68.26992732994921
118732,6534097568,0,68.79687397629296,,68.79687397629296
118732,283603631,0,68.87238305211795,,68.87238305211795
6534097568,6534097569,0,68.7203725803427,,68.7203725803427
6534097568,588481087,0,68.56366837986242,,68.56366837986242
283603631,697540,0,68.91576858067668,,68.91576858067668
283603631,6923443835,0,68.81200045150948,,68.81200045150948
118735,8977396171,0,69.0,,69.0
118735,6511276293,0,69.0,,69.0
8977396171,92994313,0,69.0,,69.0
8977396171,884220702,0,69.0,,69.0
6511276293,8977396182,0,69.0,,69.0
6511276293,750556544,0,69.0,,69.0
118738,588481119,0,65.2909273458234,,65.2909273458234
588481119,6534097569,0,67.84209626481615,,67.84209626481615
588481119,6534097567,0,67.5999333421581,,67.5999333421581
118744,1277939659,1,61.270607432790655,,61.270607432790655
1277939659,118744,0,61.270607432790655,,61.270607432790655
1277939654,1277939656,0,61.44005081346577,,61.44005081346577
1277939654,1294343345,0,59.80366416345932,,59.80366416345932
118747,6651812229,0,69.0,,69.0
118747,1052455426,0,69.0,,69.0
6651812229,6651812230,0,69.0,,69.0
6651812229,1052455226,0,68.70239510657305,,68.70239510657305
1052455426,92994311,0,69.0,,69.0
1052455426,118751,0,69.0,,69.0
118751,3574460115,0,69.0,,69.0
118751,6651812218,0,69.0,,69.0
118751,118747,0,69.0,,69.0
3574460115,3574460114,0,69.0,,69.0
3574460115,6651812354,0,69.0,,69.0
3574460115,3054294182,0,69.0,,69.0
6651812218,118751,0,69.0,,69.0
6651812218,3626959237,0,68.55000034351147,,68.55000034351147
6651812218,6651812354,0,69.0,,69.0
118759,6651812222,0,69.0,,69.0
118759,1052455428,0,69.0,,69.0
6651812222,118759,0,69.0,,69.0
6651812222,4815487352,0,68.89000882728371,,68.89000882728371
6651812222,6651812224,0,68.92495526932767,,68.92495526932767
1052455428,118773,0,69.0,,69.0
1052455428,6651812224,0,69.0,,69.0
1052455428,3822957349,0,69.0,,69.0
118763,118764,0,69.0,,69.0
118763,5887571943,0,69.0,,69.0
118764,1064956102,0,69.0,,69.0
118764,6651812324,0,69.0,,69.0
118764,6651812324,1,69.0,,69.0
5887571943,5887571944,0,69.0,,69.0
5887571943,5221431936,0,69.0,,69.0
1064956102,5887571908,0,69.0,,69.0
6651812324,1064956102,0,69.0,,69.0
6651812324,6651812325,0,69.0,,69.0
118768,5887571966,0,64.74255526213435,,64.74255526213435
118768,5221431951,0,64.9226246141108,,64.9226246141108
118768,5887571930,0,67.42540936110757,,67.42540936110757
5887571966,118768,0,64.74255526213433,,64.74255526213433
5887571966,4726329539,0,60.45294427617543,,60.45294427617543
